Name;id_Number;row_Number;seat_Number;auditorium_Number;test_result;score
"Delmar Tinoco";65905197803142049;27;32;5;False;73
"Delois Aldridge";56915198308146978;13;42;4;False;76
"Delora Leatherwood";56470193209162617;8;1;3;False;70
"Delora Woods";76939197004068958;10;19;6;False;66
"Delores Arana";93525200611216075;48;23;2;False;83
"Delores Encino";30739193306011264;38;40;5;True;62
"Delores Hunter";80558200508098669;51;44;6;False;83
"Delores Martin";46944193603253441;61;17;4;False;54
"Delores Mushtaq";31465194212241130;21;19;5;False;58
"Delores Sadler";27704201309112640;56;34;6;False;73
"Delores Szmidt";76704200709179910;8;20;3;False;73
"Delores Warwick";64714197206171881;38;52;5;False;83
"Deloris Terry";18639201405174720;9;28;5;False;78
"Demetrius Edgington";55166195312288981;53;56;6;False;71
"Demetrius Goodsite";35019195306143796;8;16;4;False;76
"Demetrius Laflore";92660198910033861;9;2;6;False;87
"Demetrius Smith";75294196803188236;11;19;4;NULL;71
"Dena Diaz";95404201605187523;13;1;5;False;80
"Dena Smith";52117193505024203;36;44;2;NULL;55
"Denice Alvarado";47654193502135783;51;36;3;False;59
"Denice Steele";77946193512111691;54;40;6;True;54
"Denise Bienenstock";19728198701056904;5;46;5;True;85
"Denise Burnett";11886201709067985;51;21;2;False;77
"Denise Casavant";95463201208147913;56;46;3;False;71
"Denise Chandler";88198196404229780;39;43;5;False;70
"Denise Galayda";68064201205084431;15;36;2;False;78
"Denise Galloway";86202201008315689;34;49;5;False;76
"Denise Gonsalves";74249200302234354;18;55;3;False;84
"Denise Hanson";49979197912142985;57;39;1;NULL;74
"Denise Jones";92223200512264021;14;20;1;False;75
"Denise King";70311199505104117;43;41;3;False;57
"Denise Kroon";23471194108145392;63;4;3;NULL;73
"Denise Kunz";32940200405221192;30;50;3;NULL;85
"Denise Lee";15070199710285660;36;59;5;True;71
"Denise Lewis";68295196705269851;26;47;3;False;72
"Denise Luchesi";37867196011274808;9;12;5;False;58
"Denise Munguia";77065197806012545;11;44;1;NULL;65
"Denise Murphy";66019193410153360;33;58;2;False;61
"Denise Payne";10800195410043343;23;50;2;False;62
"Denise Randall";75981201801213347;45;11;2;NULL;73
"Denise Reyes";66636197112028331;52;63;4;True;71
"Denise Ruiz";34903197007303278;14;36;6;NULL;69
"Denise Scott";64060199609123597;28;24;3;NULL;83
"Denise Stevenson";67961200812012291;20;11;5;False;65
"Denise Tatar";15139196208223002;2;6;3;False;55
"Denise Testani";35180197211144967;45;2;2;True;70
"Denise Williams";29984193906065816;27;1;1;False;70
"Denna Law";79836194812142158;29;55;6;True;71
"Dennis Azevedo";83584199711134737;30;26;6;False;81
"Dennis Brooks";56513199804176122;46;57;3;False;83
"Dennis Burrell";81179199005188012;18;36;4;False;88
"Dennis Chall";86278198405263112;37;39;2;False;76
"Dennis Crawford";95659200111162197;15;51;6;False;77
"Dennis Ebeling";65886195106085561;17;54;4;False;69
"Dennis Ennen";36328200208061398;33;18;1;False;87
"Dennis Fisher";55652197208029433;61;47;3;False;79
"Dennis Forsyth";32613194005143141;39;58;2;NULL;76
"Dennis Fuentes";41184197206069965;4;40;4;False;59
"Dennis Fuller";37421194104268804;46;24;6;False;64
"Dennis Green";52507194701067174;49;17;6;False;68
"Dennis Gross";35351196008284626;41;24;5;False;72
"Dennis Holley";72835195104166956;48;23;3;False;64
"Dennis Huckaby";76150200912172965;37;41;5;False;89
"Dennis Johnson";18213198706212650;62;54;4;False;88
"Dennis Jones";85156193010117455;20;41;2;False;64
"Dennis Lee";65158198201215503;50;41;1;False;76
"Dennis Lipe";54488197609213299;57;48;3;False;74
"Dennis Meyers";80507197103158203;57;55;2;False;73
"Dennis Mildenstein";99144193306154661;29;10;3;NULL;73
"Dennis Mitchell";56874196203142543;30;12;5;False;73
"Dennis Moore";77601195505196369;13;33;5;False;78
"Dennis Nadeau";53954201907256246;55;56;2;NULL;73
"Dennis Newborn";43131201701211093;8;32;3;False;71
"Dennis Perrucci";52350195407298102;29;5;1;NULL;72
"Dennis Privette";47437196402187543;2;14;6;True;73
"Dennis Probst";14327193706281504;26;19;3;False;60
"Dennis Ramirez";94002193208155327;37;57;2;NULL;65
"Dennis Reiher";22644201401239791;23;1;5;False;70
"Dennis Rohm";20912200004308776;50;22;6;False;86
"Dennis Sanders";57240195901218876;37;36;1;False;73
"Dennis Sanderson";55776194206196256;54;26;1;False;58
"Dennis Shaw";20874197307274036;13;27;4;False;69
"Dennis Squires";12505196202284816;24;57;4;False;81
"Dennis Susana";83163198704226594;33;30;2;False;77
"Dennis Tom";75270195303083530;43;17;3;False;74
"Dennis Vandenbosch";12978196204214725;59;32;2;False;75
"Dennis Watson";13474201211058729;51;51;4;NULL;84
"Dennis Weekes";30752201411208132;43;27;3;False;78
"Dennis Williams";76026198611052781;4;20;5;False;82
"Dennis Willsey";39161199603063043;21;6;5;False;74
"Dennise Alexander";10264194909166476;52;21;6;False;73
"Denny Mayer";80645197106287518;55;22;2;NULL;75
"Denny Thorne";41176195806011362;9;58;2;False;78
"Denver Ball";91479197808096426;32;22;3;False;78
"Derek Heinz";22941196910022182;14;48;5;False;73
"Derek Nicholson";26433194603083498;27;55;3;NULL;65
"Derek Reyes";42100201503179051;46;17;4;NULL;81
"Derek Robinson";23452196811235659;50;52;2;False;68
"Derek Sanford";27044196006221576;57;57;3;False;73
"Derek Stevens";94355198702125021;27;48;4;NULL;79
"Derek Yang";74770201805273244;8;26;1;False;76
"Derek Zamarripa";81397198905242159;43;56;5;NULL;88
"Derrick Jones";59688198309289561;18;26;1;True;74
"Derrick Ramos";99648194106219835;48;1;5;False;66
"Derrick Thomas";95202200209033842;13;35;3;NULL;67
"Derrick Wilson";36554197203169785;25;13;6;False;73
"Desire Cox";18923193104308033;50;43;1;True;60
"Desiree Dobson";59909198301016872;14;4;3;False;78
"Desiree Ferguson";25920201903196636;3;38;3;False;72
"Desiree Thompson";58936197001262605;10;1;5;False;80
"Despina Smith";80214201204154227;22;60;4;False;82
"Destiny Krueger";36090200208314696;45;52;6;False;88
"Devin Haine";31886194610105093;4;13;6;True;73
"Devon Fink";86042194002013115;7;58;5;False;54
"Devon James";34860200310207110;17;18;2;False;84
"Devon Shapiro";33927196309063714;16;20;6;False;71
"Devon Stewart";60308194712215456;10;53;2;False;72
"Devon Walker";58729195602134310;11;28;6;NULL;66
"Devora Martin";88719200506193728;37;23;5;False;81
"Dewey Jensen";80453193910179270;28;6;2;NULL;65
"Dewey Locy";68966196403076999;50;8;1;True;73
"Dewitt Wiseman";71060195301083840;40;13;6;False;69
"Dewitt Zoltek";19468194606088236;12;17;2;NULL;66
"Dexter Fiorini";21575200705172024;10;5;4;NULL;73
"Diana Allen";72669199612095620;10;50;2;False;79
"Diana Coleman";83769198111105979;53;20;1;NULL;87
"Diana Cortez";76926193612034229;17;39;2;False;54
"Diana Davies";97659199304096518;16;32;4;NULL;82
"Diana Greene";20293199610063523;58;42;2;False;73
"Diana Hartley";78756195102203205;3;41;3;False;68
"Diana Johnson";95281193609273441;16;8;6;NULL;63
"Diana Lancaster";58324201903261660;1;36;6;False;65
"Diana Moore";53913198912237687;37;61;2;False;86
"Diana Morris";16676194512184184;10;26;6;False;57
"Diana Nixon";36715198206215183;20;29;3;NULL;73
"Diana Ohanlon";20679200406262880;53;7;1;True;90
"Diana Pitchford";33035198208264494;38;36;4;False;75
"Diana Sells";93066196805296361;21;59;5;False;87
"Diana Simpson";39736193312064866;23;36;5;False;73
"Diana Simpson";36680196012174849;55;44;4;False;73
"Diana Townes";26421193611269496;34;17;6;NULL;63
"Diana Wasmund";20011201506146469;42;26;3;False;75
"Diana Wells";77816199805249780;62;28;4;True;91
"Diana Wilcox";55999201012255759;32;6;2;NULL;81
"Diana Ziminski";92621200409252306;8;3;1;False;87
"Diane Adolphson";73310200101141115;37;31;3;False;76
"Diane Ainsley";63172197305071731;2;39;1;False;81
"Diane Cone";75808194602143088;37;1;5;False;55
"Diane Dominquez";29064200307162130;35;35;2;False;85
"Diane Eldridge";53397200907011310;28;31;2;False;72
"Diane Faltus";46147193301248305;45;29;1;False;58
"Diane Fox";38417200604287230;9;19;2;False;73
"Diane Greene";42083193401086602;20;47;4;False;67
"Diane Houchins";68961195511094760;37;40;3;False;72
"Diane Hurtado";62108200201198183;34;25;3;True;65
"Diane Jones";10861198906288972;4;37;1;False;87
"Diane Kessler";59639198502183735;23;56;6;False;86
"Diane Klarich";36220200508192546;37;3;2;False;73
"Diane Larson";53920201311308467;10;14;5;False;85
"Diane Macpherson";37244195805034374;13;23;2;False;72
"Diane Madden";76623193303262742;57;54;3;False;64
"Diane Miller";95516201202158928;40;56;5;NULL;74
"Diane Oneil";59045200410318719;56;4;2;False;75
"Diane Ortiz";85350193207316344;33;1;1;False;60
"Diane Pack";19552194704167771;23;58;4;False;71
"Diane Reid";95202201411284028;47;56;3;False;78
"Diane Rivera";61193194611077960;42;62;5;False;64
"Diane Schneider";46501196906048126;61;18;2;False;75
"Diane Streeter";44649196010139478;1;1;1;False;77
"Diane Tate";57847197603297411;41;30;2;False;77
"Diane Ungar";58029201609269813;38;20;6;False;74
"Diane Whiting";45795193511264971;19;40;5;NULL;73
"Diann Budde";99990200603257826;30;17;5;False;67
"Dianna Chase";16278198212283996;19;41;1;NULL;79
"Dianna Esposito";93626196605093766;17;28;2;False;81
"Dianna Posson";96585197301274955;28;54;5;False;64
"Dianna Stewart";82398199603109307;39;40;5;False;91
"Dianne Alvarado";50878197708145763;16;39;1;NULL;86
"Dianne Gallardo";86532194808056525;25;2;4;False;59
"Dianne Gouin";51410198012165586;11;37;1;False;76
"Dianne Sundby";63386201310248541;24;12;4;False;73
"Dianne Terra";92945199411061070;16;57;3;False;83
"Dianne Tucker";14255197805229961;8;50;4;False;78
"Dianne White";76817194512018008;38;32;4;False;64
"Dick Reid";55158199411213506;26;56;6;False;73
"Dina Tuten";58417201709281788;16;23;3;False;73
"Dinah Hope";18829201012069622;1;49;6;True;78
"Dinah Simon";89794193012257979;43;32;2;False;59
"Dixie Galletti";63421195206224646;46;61;5;False;66
"Dixie Hyder";67789193210259700;13;11;4;NULL;66
"Dixie Phillips";66648196308224238;18;2;5;False;79
"Dixie Sandoval";40354193507271593;30;38;5;NULL;53
"Dollie Simpson";61609196905096513;44;12;1;False;73
"Dolly Davis";51277199206204998;29;15;4;False;77
"Dolly Vanvalkenburg";36806194905084044;25;30;2;False;58
"Dolores Antonio";11305194507053859;33;38;5;False;76
"Dolores Crow";18227193401055096;18;3;3;NULL;61
"Dolores Franqui";43306198210067954;18;36;1;False;77
"Dolores Hawkins";30103194505224120;44;20;6;NULL;66
"Dolores Leblond";99301194603031390;17;49;4;False;66
"Dolores Ludwig";28738200909245905;30;62;5;NULL;75
"Dolores Maple";43392194810268821;41;42;6;False;65
"Dolores Moretti";78730194006044568;40;5;3;NULL;78
"Dolores Pinney";18472199306177192;21;37;3;NULL;79
"Dolores Pitts";35684195710277435;14;38;1;NULL;80
"Dolores Prescott";65982193009208363;15;38;1;False;55
"Dolores Ryder";33263196010057713;56;47;6;NULL;73
"Dolores Starks";31896201806144376;4;38;4;NULL;72
"Dolores Sweed";42050198104062001;8;15;3;False;83
"Dolores Yoakum";90470195606298693;23;21;4;False;70
"Dominga Day";26090196910249407;21;6;2;NULL;77
"Dominga Godwin";88809193911301685;20;23;6;NULL;69
"Domingo Oden";34958198502218089;8;47;6;NULL;85
"Domingo Parker";28440195310267046;48;24;1;False;65
"Dominic Hodgkin";75757201510271682;58;35;1;False;58
"Dominic Mendoza";58415195401269475;16;10;2;False;73
"Dominick Smith";24693199704048387;7;1;6;NULL;77
"Dominique Grayson";79904193807144998;10;14;4;False;66
"Dominique Land";28826200902255498;23;36;2;NULL;77
"Dominique Ortiz";21128193206012281;50;36;3;False;66
"Dominque Mason";21864200105146307;33;15;4;NULL;83
"Don Allen";95117197009146981;50;18;6;False;69
"Don Brooks";37513197507052134;54;6;3;False;80
"Don Bulat";96954194503027135;39;39;1;False;70
"Don Carter";29853195009172200;45;39;6;False;71
"Don Floyd";65664196904283311;22;34;6;False;77
"Don Frey";14257199309043755;50;3;4;False;82
"Don Gonzales";39526196707236804;53;5;3;NULL;77
"Don Harmon";11613200905116422;50;45;5;False;66
"Don Macklin";64524201603042563;53;22;3;False;71
"Don Mcreynolds";51137201109046868;36;41;5;False;85
"Don Ogden";54371193807213500;52;57;4;False;62
"Don Potter";32358198607159681;8;34;3;NULL;84
"Don Rustin";58298195205091137;1;24;3;False;67
"Don Soto";73048196408247788;40;42;4;NULL;71
"Don Stone";10547194307156189;14;32;5;False;65
"Don Williamson";43201193709108924;22;50;2;False;73
"Don Woodard";36010197612297002;49;14;2;NULL;84
"Dona Hale";50737193906226417;48;50;2;NULL;63
"Donald Adrian";41084200105287138;29;2;4;NULL;73
"Donald Anderson";28502195303318514;26;39;6;False;59
"Donald Beck";66326197002018716;21;22;2;False;84
"Donald Beckstead";50159193705073486;55;46;3;False;58
"Donald Bell";35909198209015682;4;8;2;False;83
"Donald Benson";13289193009122068;60;24;3;NULL;68
"Donald Benton";79588201906065997;47;22;5;NULL;76
"Donald Blair";76424195609256773;62;45;3;False;62
"Donald Blankenship";23733197710203357;3;37;5;False;74
"Donald Boone";15526195203065203;34;43;2;False;70
"Donald Bowers";99567195210082643;27;12;6;False;60
"Donald Brennan";56509195102089754;55;34;2;False;72
"Donald Brown";70009194709211747;5;27;5;False;74
"Donald Browning";85461200407183395;44;56;6;NULL;73
"Donald Castro";59186197507015109;6;9;1;False;80
"Donald Cline";98011193003096643;60;11;4;False;65
"Donald Collier";29933201905307646;20;30;3;False;72
"Donald Cooper";13431197610135489;42;6;4;NULL;73
"Donald Coutts";24539194609089943;35;24;4;False;59
"Donald Daniels";99078194510154850;58;2;4;False;62
"Donald Dapolito";45552197003014081;37;45;5;NULL;72
"Donald Davis";21250199302017575;31;55;2;NULL;80
"Donald Day";85684201301317369;16;31;5;False;87
"Donald Deal";82672199304271049;49;54;6;NULL;89
"Donald Delacruz";90207198910118124;25;43;5;False;81
"Donald Dollar";91992197707101872;18;7;1;False;73
"Donald Dotson";84009195303279940;15;14;6;NULL;70
"Donald Doughtie";48345197511179616;1;4;6;NULL;73
"Donald Ferguson";45679200411127475;31;30;3;NULL;71
"Donald Frilling";80354196904202242;25;38;2;False;73
"Donald Gagne";71916194708112857;48;57;4;False;72
"Donald Gardner";52375195403248348;14;56;4;NULL;68
"Donald Gattison";56471193904198183;57;20;6;False;73
"Donald Gibbs";60489197711144486;34;9;6;NULL;82
"Donald Given";16382197505289521;12;27;3;False;88
"Donald Goodwin";60125201102172239;55;61;4;True;90
"Donald Griffin";30387194702168257;15;45;3;NULL;78
"Donald Hile";86319195709148500;12;15;2;False;76
"Donald Hill";37248194903094974;61;25;3;NULL;78
"Donald Himmel";90495194310131320;43;59;4;True;61
"Donald Holmes";60605196110291568;8;15;2;False;81
"Donald Honeycutt";67319201905209416;49;3;5;NULL;88
"Donald Hughes";40646198106081278;36;26;1;False;79
"Donald Irby";36256193501026463;54;9;4;True;67
"Donald Jackson";88860194204238478;55;1;1;False;68
"Donald Jeanes";51103200409212333;16;30;6;NULL;81
"Donald Johnson";61412194012302981;14;55;2;NULL;51
"Donald Justice";81717201804116536;36;35;4;False;73
"Donald Keepers";78413194005276787;13;42;6;False;66
"Donald Kille";64849195103064242;14;35;6;False;79
"Donald Kingsbury";44010201009279633;14;15;5;False;74
"Donald Kraeger";85236195204162199;7;32;5;NULL;73
"Donald Lares";67306201210105850;7;29;3;False;73
"Donald Lee";72225194511161587;6;30;6;False;65
"Donald Lee";47913198112019868;4;45;3;False;68
"Donald Massie";56811199107302820;33;12;6;False;77
"Donald Mcmahon";59040201510045758;42;48;5;NULL;65
"Donald Mcpherson";78889194901157271;35;24;1;False;66
"Donald Metz";39183194903242276;62;22;2;False;76
"Donald Mitchell";97633197207156129;35;63;4;False;78
"Donald Moran";97573194001289449;1;32;5;False;63
"Donald Napier";34823194203109195;7;30;6;False;63
"Donald Nelson";40536196305266889;36;11;1;False;84
"Donald Nopper";12175196803011457;27;24;3;NULL;73
"Donald Oconner";46610194812162886;19;29;2;NULL;46
"Donald Owens";72061198306245889;26;2;5;NULL;79
"Donald Paige";75714194412275591;40;49;6;False;69
"Donald Paulseth";57415198206305534;12;6;2;False;68
"Donald Pennisi";21470193703187590;30;15;4;False;68
"Donald Price";38183197711263313;29;9;4;False;72
"Donald Price";70394193205078876;23;55;6;NULL;64
"Donald Price";35858193910186270;23;7;6;NULL;66
"Donald Quinn";11441197808285150;5;44;4;NULL;79
"Donald Roberts";97535201912259049;14;42;2;NULL;71
"Donald Ruble";37337194012139670;1;2;4;False;73
"Donald Salinas";70958197610015805;61;54;3;NULL;82
"Donald Saltsman";67654194309124878;6;61;2;True;55
"Donald Sandoval";92345196606286253;61;38;6;False;67
"Donald Schaefer";88810195910049886;3;34;1;False;73
"Donald Schneider";76060201703064450;17;21;6;False;74
"Donald Scott";83627201809023498;15;21;2;False;66
"Donald Smith";88037193607316261;48;7;4;NULL;63
"Donald Snow";71217197011164043;31;16;1;False;76
"Donald Sonnier";54092199201291469;20;17;5;True;84
"Donald Stancil";70136196608178345;1;39;2;False;75
"Donald Stoffel";66243199504144252;58;52;2;False;82
"Donald Tate";17705196105251905;45;33;3;False;71
"Donald Taylor";98113201610135257;17;23;1;False;68
"Donald Thomas";44054199612298326;58;38;2;False;88
"Donald Tracy";24381193405167927;19;45;4;False;69
"Donald Trapani";46103194410079490;63;60;2;False;73
"Donald Turkel";30934193809158529;6;54;6;NULL;73
"Donald Vetter";54138193002066540;5;3;6;False;73
"Donald West";47685201605272224;8;27;4;False;73
"Donald Whitson";10976200103172892;63;27;3;True;77
"Donald Wohlrab";57440194501239091;2;26;4;False;59
"Donald Woods";27160193906086726;48;22;4;False;70
"Dong Price";40198195709067573;1;13;5;False;67
"Dong Vereen";92159196211029512;25;18;6;True;73
"Donita Usher";99960194504136383;5;32;1;False;71
"Donna Barth";32522200802248251;61;40;3;NULL;73
"Donna Bodak";51008194103029503;28;12;4;NULL;73
"Donna Bryant";19578201205202377;13;44;6;False;82
"Donna Canady";78582195408152705;47;35;2;False;80
"Donna Carter";87664194011056055;50;2;1;False;73
"Donna Cline";86268196407158624;31;39;2;True;73
"Donna Dominquez";39231195406156197;13;9;5;False;73
"Donna Doody";22865198707119036;33;41;5;False;81
"Donna Dukes";38896193412219957;2;52;4;False;69
"Donna Eakes";72489194111124736;18;2;1;False;62
"Donna Edwards";58964201708084161;26;29;1;NULL;71
"Donna Egan";89410201207179515;49;33;4;True;76
"Donna Evans";45277200408062314;7;59;2;False;73
"Donna Foster";24157201006284954;60;2;4;True;76
"Donna Gandy";22702199412011823;5;38;4;False;89
"Donna Gaul";29323200709042776;9;1;2;False;71
"Donna Hand";32928199203287199;27;56;2;True;91
"Donna Harris";23886201509199175;48;40;3;False;82
"Donna Hilt";98035193602127432;6;4;1;False;64
"Donna Klingel";18488193110031928;37;4;4;False;62
"Donna Lane";62184198208211502;24;11;1;False;72
"Donna Lee";59242194002042554;33;53;2;False;75
"Donna Lewis";76921200705204691;15;27;4;False;74
"Donna Martinez";12141201010221777;35;41;3;False;73
"Donna Mehta";36314197602238918;47;34;5;False;82
"Donna Mestas";24153200005177400;37;16;4;False;78
"Donna Moore";34013194003088294;26;8;3;NULL;55
"Donna Morales";25621197107062262;59;21;4;NULL;76
"Donna Mouton";22646194208305799;24;7;4;False;72
"Donna Naylor";67173201311267639;37;5;1;False;78
"Donna Park";25474195606071973;30;47;5;False;78
"Donna Payne";61525195007301660;27;7;5;False;70
"Donna Prill";61574198103154326;39;16;4;False;67
"Donna Remmers";73277195609012296;57;2;1;False;71
"Donna Roberts";60802193908128763;52;23;2;NULL;70
"Donna Robinson";55333197806223395;17;11;1;False;80
"Donna Samuels";95522201508194766;33;33;2;False;67
"Donna Schmidt";48984195904243623;4;21;2;False;72
"Donna Steadman";90601198710076826;53;25;2;NULL;73
"Donna Stultz";88678200902208668;24;38;5;True;89
"Donna Taylor";71547200201306442;48;19;4;False;83
"Donna Toole";94236196210042966;48;54;3;False;73
"Donna Trytten";31374198507064037;18;30;6;False;86
"Donna Ventura";85213195607305847;51;58;2;False;72
"Donna Weller";62586193406063201;22;32;2;NULL;58
"Donna Wilson";94765201106261224;11;11;6;False;76
"Donnell Jackson";50859198607055374;14;51;3;False;82
"Donnell Navarra";22351200905297606;54;23;4;False;80
"Donnie Colbert";73022193501265674;51;2;1;False;73
"Donnie Dow";93651195711296302;22;3;2;True;73
"Donnie Ehrgott";81261201810064655;22;5;6;False;77
"Donnie Guerrero";26646199212209949;15;23;4;False;87
"Donnie Troilo";34206195109129831;35;56;3;True;71
"Donovan Brady";53581201711254780;47;48;5;False;78
"Donovan Brown";13157193010213646;34;16;2;False;68
"Donovan Howell";30205198207231608;62;52;2;False;74
"Donte Givens";64895198109056358;29;35;4;False;84
"Donte Nelson";86632195709192281;59;8;2;False;46
"Dora Anderson";21820195402191259;23;61;5;NULL;75
"Dora Briggeman";69076194311205915;26;2;1;False;73
"Dora Gambrell";46832196209151306;56;44;6;False;63
"Dora Harmon";87954199307124959;48;22;5;False;80
"Dora Lepage";86794200407312724;59;37;6;False;73
"Dora Moran";76442201006287782;18;4;4;False;64
"Dora Mulvaney";79632194902236727;25;52;2;False;67
"Dora Stutzman";10803198907179664;30;64;4;NULL;77
"Dorcas Wagner";25498197104152922;46;33;3;NULL;78
"Doreen Bickley";70486201810298360;45;54;5;False;68
"Doreen Harris";36054193712137677;35;24;3;False;59
"Doreen Mielke";33567194309087220;32;53;4;NULL;67
"Dorie Lancon";45266199807166695;55;25;6;False;75
"Doris Abercrombie";29350199306116534;16;9;2;False;85
"Doris Alvarez";73788196201215113;39;46;3;False;74
"Doris Askew";86993193706286515;10;36;5;False;69
"Doris Baum";28402193708238315;24;57;3;False;52
"Doris Benefiel";26080197001183217;32;2;1;NULL;74
"Doris Briganti";14154200712056637;18;45;6;NULL;83
"Doris Chandler";41491194311032694;39;13;2;NULL;65
"Doris Clark";20642197201292976;38;13;5;False;78
"Doris Cook";39023199907221106;19;4;6;NULL;91
"Doris Dejesus";76272193702131121;2;23;2;False;49
"Doris Ford";12937200508091475;55;7;6;NULL;88
"Doris Foster";94443194710026363;22;56;4;NULL;79
"Doris Garza";50665200310188853;55;29;4;False;90
"Doris Gendron";58640198905218840;10;53;5;False;89
"Doris Gill";28700193310023573;39;49;4;NULL;62
"Doris Harris";51656199802272441;33;12;4;False;71
"Doris Harris";96718193103094466;61;53;4;False;48
"Doris Hawk";89425197012046045;46;42;3;NULL;67
"Doris Kalina";63203201808145143;22;50;3;NULL;70
"Doris Kassler";37359193409137056;14;33;5;False;66
"Doris Koopman";99687201612035423;14;52;4;False;76
"Doris Larsen";69246193111297206;27;2;1;False;62
"Doris Lebovic";75287201310154002;13;35;5;False;86
"Doris Logan";75406200407243750;27;18;6;False;71
"Doris Miles";31982193008092116;48;5;4;False;58
"Doris Montgomery";83093196808065845;32;25;4;NULL;73
"Doris Murphy";82671193707202106;24;54;3;False;64
"Doris Redman";76508196209133135;43;56;3;NULL;66
"Doris Shea";19322200103043680;63;55;2;NULL;79
"Doris Simmons";39885200908077351;1;42;2;False;90
"Doris Smith";39406195311219566;38;4;5;False;73
"Doris Soler";12496195110074901;16;18;2;False;59
"Doris Strauss";72756201912154220;2;19;1;False;66
"Doris Vineyard";34513193301021654;53;46;2;False;64
"Dorotha Ellis";66962198602255923;1;28;1;False;79
"Dorothea Borges";24288199111092331;8;56;4;False;76
"Dorothea Eslinger";37405198703142272;55;51;4;False;79
"Dorothea Kemper";57272198305284776;13;37;2;False;74
"Dorothea Williams";79580201410036058;21;2;1;NULL;82
"Dorothy Acord";72820200511263932;56;17;1;False;88
"Dorothy Aden";65858196102101319;26;51;4;False;64
"Dorothy Baker";38178200801314601;43;42;4;False;80
"Dorothy Baker";88548199608174154;20;21;1;NULL;80
"Dorothy Barrera";47033199612092377;53;21;6;False;73
"Dorothy Benson";76380201606258866;50;8;2;NULL;82
"Dorothy Blanchard";24219197503107876;39;25;5;NULL;81
"Dorothy Booker";91132201602269503;22;58;5;False;67
"Dorothy Busch";93212199709245303;27;29;1;False;90
"Dorothy Cantrell";14630198809206809;41;14;4;False;69
"Dorothy Chenault";85582197706075231;25;10;1;False;80
"Dorothy Cole";89798197205054952;4;14;1;False;73
"Dorothy Connor";56232199211068441;2;43;6;False;81
"Dorothy Cornett";92570199005094321;22;6;2;NULL;79
"Dorothy Cronin";65120198003238765;3;13;6;False;82
"Dorothy Dietrich";48094201301114331;35;26;5;False;90
"Dorothy Emerson";40130199010302473;10;32;3;NULL;75
"Dorothy Finnegan";67673194101057003;20;24;1;False;73
"Dorothy Fowler";17048193110296500;13;43;6;False;73
"Dorothy Foxx";80500199710304821;32;8;6;False;83
"Dorothy Frazier";13775201602228653;30;58;5;False;73
"Dorothy Gates";93228196005107177;6;40;1;False;69
"Dorothy Gettinger";10396200412158632;22;8;4;False;82
"Dorothy Hammett";65463199904224590;23;28;2;False;84
"Dorothy Harmon";85085195312232014;38;6;5;NULL;79
"Dorothy Hart";95043194706028756;3;64;4;NULL;57
"Dorothy Huffman";51736197404187917;44;35;2;False;76
"Dorothy James";16024200205307139;33;17;4;False;74
"Dorothy Joseph";50240194405021523;46;25;4;False;76
"Dorothy Kaschak";19160199012258138;40;38;4;NULL;75
"Dorothy Kilgallon";70661193309025731;24;6;4;False;64
"Dorothy Kimber";15487200402072983;38;29;6;False;81
"Dorothy Lamont";52587200705211019;24;61;5;NULL;71
"Dorothy Lewis";27413201908231732;39;31;4;NULL;73
"Dorothy Lewis";72088195710174410;37;28;4;False;57
"Dorothy Locke";90408195008229757;9;42;5;False;71
"Dorothy Masterson";14860193810142793;53;52;6;False;58
"Dorothy Matthews";91375200012174142;45;59;2;False;85
"Dorothy Mccabe";90653200110299919;42;19;5;False;69
"Dorothy Mcclinsey";48108195701249556;11;26;3;NULL;65
"Dorothy Mccroskey";71156196104227118;22;19;4;False;74
"Dorothy Mcgill";74182195912105221;42;17;2;False;77
"Dorothy Meier";99908198801214655;18;27;3;False;79
"Dorothy Nichol";43745196810091000;31;33;3;NULL;52
"Dorothy Noonan";97099196107041637;33;36;6;False;76
"Dorothy Ortiz";75596200911237376;8;8;1;False;79
"Dorothy Parker";57374195903014358;23;49;6;False;77
"Dorothy Parrino";13174200108316923;48;36;2;False;85
"Dorothy Parsons";49574194604276984;58;38;3;NULL;67
"Dorothy Pipkins";95639196806126881;9;59;5;False;78
"Dorothy Rollo";30885197112166395;44;52;5;False;77
"Dorothy Ropp";47397196109254356;30;41;5;NULL;66
"Dorothy Rosa";97628198603279899;20;17;2;True;81
"Dorothy Salinas";88269198409211410;50;10;4;False;75
"Dorothy Sanders";25754195603161423;38;7;3;False;76
"Dorothy Schlegel";38925197912206224;13;35;6;NULL;82
"Dorothy Smith";35896194502209533;49;24;6;False;64
"Dorothy Solari";55496193008181888;25;16;6;False;73
"Dorothy Soldner";83263193811288123;35;54;2;False;73
"Dorothy Spies";44584200010032816;50;50;2;NULL;84
"Dorothy Stites";33204202004276310;35;56;2;False;83
"Dorothy Strain";82105197605199404;4;50;3;False;86
"Dorothy Sylvain";71482195506186467;30;28;3;NULL;60
"Dorothy Tes";12191194804235018;24;56;2;False;66
"Dorothy Weaver";36307199012209255;8;59;5;NULL;75
"Dorothy Weidman";41305194003143968;9;26;5;False;69
"Dorothy Whitehurst";86090199907139033;46;31;1;False;88
"Dorothy Wise";92535194003095057;60;14;6;False;62
"Dottie Mantini";61879201712039089;28;35;6;False;79
"Doug Sergi";24562196403134551;12;16;1;False;74
"Douglas Anderson";85515198806238314;45;51;5;False;89
